DEPORTISTAS,PESO,LONGITUD1,ALTURA,ANCHO
NINOS,242,23.2,11.52,4.02
NINOS,290,24,12.48,4.3056
NINOS,340,23.9,12.3778,4.6961
NINOS,363,26.3,12.73,4.4555
NINOS,430,26.5,12.444,5.134
NINOS,450,26.8,13.6024,4.9274
NINOS,500,26.8,14.1795,5.2785
NINOS,390,27.6,12.67,4.69
NINOS,450,27.6,14.0049,4.8438
NINOS,500,28.5,14.2266,4.9594
NINOS,475,28.4,14.2628,5.1042
NINOS,500,28.7,14.3714,4.8146
NINOS,500,29.1,13.7592,4.368
NINOS,340,29.5,13.9129,5.0728
NINOS,600,29.4,14.9544,5.1708
NINOS,600,29.4,15.438,5.58
NINOS,700,30.4,14.8604,5.2854
NINOS,700,30.4,14.938,5.1975
NINOS,610,30.9,15.633,5.1338
NINOS,650,31,14.4738,5.7276
NINOS,575,31.3,15.1285,5.5695
NINOS,685,31.4,15.9936,5.3704
NINOS,620,31.5,15.5227,5.2801
NINOS,680,31.8,15.4686,6.1306
NINOS,700,31.9,16.2405,5.589
NINOS,725,31.8,16.36,6.0532
NINOS,720,32,16.3618,6.09
NINOS,714,32.7,16.517,5.8515
NINOS,850,32.8,16.8896,6.1984
NINOS,1000,33.5,18.957,6.603
NINOS,920,35,18.0369,6.3063
NINOS,955,35,18.084,6.292
NINOS,925,36.2,18.7542,6.7497
NINOS,975,37.4,18.6354,6.7473
NINOS,950,38,17.6235,6.3705
ADOLESCENTES,40,12.9,4.1472,2.268
ADOLESCENTES,69,16.5,5.2983,2.8217
ADOLESCENTES,78,17.5,5.5756,2.9044
ADOLESCENTES,87,18.2,5.6166,3.1746
ADOLESCENTES,120,18.6,6.216,3.5742
ADOLESCENTES,0,19,6.4752,3.3516
ADOLESCENTES,110,19.1,6.1677,3.3957
ADOLESCENTES,120,19.4,6.1146,3.2943
ADOLESCENTES,150,20.4,5.8045,3.7544
ADOLESCENTES,145,20.5,6.6339,3.5478
ADOLESCENTES,160,20.5,7.0334,3.8203
ADOLESCENTES,140,21,6.55,3.325
ADOLESCENTES,160,21.1,6.4,3.8
ADOLESCENTES,169,22,7.5344,3.8352
ADOLESCENTES,161,22,6.9153,3.6312
ADOLESCENTES,200,22.1,7.3968,4.1272
ADOLESCENTES,180,23.6,7.0866,3.906
ADOLESCENTES,290,24,8.8768,4.4968
ADOLESCENTES,272,25,8.568,4.7736
ADOLESCENTES,390,29.5,9.485,5.355
TERCERA EDAD,270,23.6,8.3804,4.2476
TERCERA EDAD,270,24.1,8.1454,4.2485
TERCERA EDAD,306,25.6,8.778,4.6816
TERCERA EDAD,540,28.5,10.744,6.562
TERCERA EDAD,800,33.7,11.7612,6.5736
TERCERA EDAD,1000,37.3,12.354,6.525
ADULTOS,55,13.5,6.8475,2.3265
ADULTOS,60,14.3,6.5772,2.3142
ADULTOS,90,16.3,7.4052,2.673
ADULTOS,120,17.5,8.3922,2.9181
ADULTOS,150,18.4,8.8928,3.2928
ADULTOS,140,19,8.5376,3.2944
ADULTOS,170,19,9.396,3.4104
ADULTOS,145,19.8,9.7364,3.1571
ADULTOS,200,21.2,10.3458,3.6636
ADULTOS,273,23,11.088,4.144
ADULTOS,300,24,11.368,4.234
JOVENES,5.9,7.5,2.112,1.408
JOVENES,32,12.5,3.528,1.9992
JOVENES,40,13.8,3.824,2.432
JOVENES,51.5,15,4.5924,2.6316
JOVENES,70,15.7,4.588,2.9415
JOVENES,100,16.2,5.2224,3.3216
JOVENES,78,16.8,5.1992,3.1234
JOVENES,80,17.2,5.6358,3.0502
JOVENES,85,17.8,5.1376,3.0368
JOVENES,85,18.2,5.082,2.772
JOVENES,110,19,5.6925,3.555
JOVENES,115,19,5.9175,3.3075
JOVENES,125,19,5.6925,3.6675
JOVENES,130,19.3,6.384,3.534
JOVENES,120,20,6.11,3.4075
JOVENES,120,20,5.64,3.525
JOVENES,130,20,6.11,3.525
JOVENES,135,20,5.875,3.525
JOVENES,110,20,5.5225,3.995
JOVENES,130,20.5,5.856,3.624
JOVENES,150,20.5,6.792,3.624
JOVENES,145,20.7,5.9532,3.63
JOVENES,150,21,5.2185,3.626
JOVENES,170,21.5,6.275,3.725
JOVENES,225,22,7.293,3.723
JOVENES,145,22,6.375,3.825
JOVENES,188,22.6,6.7334,4.1658
JOVENES,180,23,6.4395,3.6835
JOVENES,197,23.5,6.561,4.239
JOVENES,218,25,7.168,4.144
JOVENES,300,25.2,8.323,5.1373
JOVENES,260,25.4,7.1672,4.335
JOVENES,265,25.4,7.0516,4.335
JOVENES,250,25.4,7.2828,4.5662
JOVENES,250,25.9,7.8204,4.2042
JOVENES,300,26.9,7.5852,4.6354
JOVENES,320,27.8,7.6156,4.7716
JOVENES,514,30.5,10.03,6.018
JOVENES,556,32,10.2565,6.3875
JOVENES,840,32.5,11.4884,7.7957
JOVENES,685,34,10.881,6.864
JOVENES,700,34,10.6091,6.7408
JOVENES,700,34.5,10.835,6.2646
JOVENES,690,34.6,10.5717,6.3666
JOVENES,900,36.5,11.1366,7.4934
JOVENES,650,36.5,11.1366,6.003
JOVENES,820,36.6,12.4313,7.3514
JOVENES,850,36.9,11.9286,7.1064
JOVENES,900,37,11.73,7.225
JOVENES,1015,37,12.3808,7.4624
JOVENES,820,37.1,11.135,6.63
JOVENES,1100,39,12.8002,6.8684
JOVENES,1000,39.8,11.9328,7.2772
JOVENES,1100,40.1,12.5125,7.4165
JOVENES,1000,40.2,12.604,8.142
JOVENES,1000,41.1,12.4888,7.5958
ADOLESCENTES,200,30,5.568,3.3756
ADOLESCENTES,300,31.7,5.7078,4.158
ADOLESCENTES,300,32.7,5.9364,4.3844
ADOLESCENTES,300,34.8,6.2884,4.0198
ADOLESCENTES,430,35.5,7.29,4.5765
ADOLESCENTES,345,36,6.396,3.977
ADOLESCENTES,456,40,7.28,4.3225
ADOLESCENTES,510,40,6.825,4.459
ADOLESCENTES,540,40.1,7.786,5.1296
ADOLESCENTES,500,42,6.96,4.896
ADOLESCENTES,567,43.2,7.792,4.87
ADOLESCENTES,770,44.8,7.68,5.376
ADOLESCENTES,950,48.3,8.9262,6.1712
ADOLESCENTES,1250,52,10.6863,6.9849
ADOLESCENTES,1600,56,9.6,6.144
ADOLESCENTES,1550,56,9.6,6.144
ADOLESCENTES,1650,59,10.812,7.48
TERCERA EDAD,6.7,9.3,1.7388,1.0476
TERCERA EDAD,7.5,10,1.972,1.16
TERCERA EDAD,7,10.1,1.7284,1.1484
TERCERA EDAD,9.7,10.4,2.196,1.38
TERCERA EDAD,9.8,10.7,2.0832,1.2772
TERCERA EDAD,8.7,10.8,1.9782,1.2852
TERCERA EDAD,10,11.3,2.2139,1.2838
TERCERA EDAD,9.9,11.3,2.2139,1.1659
TERCERA EDAD,9.8,11.4,2.2044,1.1484
TERCERA EDAD,12.2,11.5,2.0904,1.3936
TERCERA EDAD,13.4,11.7,2.43,1.269
TERCERA EDAD,12.2,12.1,2.277,1.2558
TERCERA EDAD,19.7,13.2,2.8728,2.0672
TERCERA EDAD,19.9,13.8,2.9322,1.8792
